epoch,train_loss,val_loss,top1,top5,temperature
1,4.395447683334351,4.065460555854885,0.01149425283074379,0.0517241396009922,10.0
2,3.2868714809417723,4.020503224997685,0.02298850566148758,0.09195402264595032,10.0
3,2.359038805961609,4.090497910291299,0.03448275849223137,0.09195402264595032,10.0
4,1.6695422410964966,4.046808538765743,0.06321839243173599,0.12643678486347198,10.0
5,1.2155009388923645,4.056017091904564,0.06896551698446274,0.13793103396892548,10.0
6,0.927861624956131,4.1119527268683775,0.08045977354049683,0.16091954708099365,10.0
7,0.7204917788505554,4.074382921745038,0.05747126415371895,0.12643678486347198,10.0
8,0.6029024541378021,4.177268579088408,0.07471264153718948,0.12068965286016464,10.0
9,0.5062519043684006,4.188766797383626,0.05747126415371895,0.13793103396892548,10.0
10,0.41642639338970183,4.2222187765713395,0.06321839243173599,0.13793103396892548,10.0
11,0.39340930581092837,4.200394455043749,0.0517241396009922,0.14367815852165222,10.0
12,0.3328259140253067,4.266934274256914,0.06896551698446274,0.1551724076271057,10.0
13,0.3156079679727554,4.265675840706661,0.06321839243173599,0.13218390941619873,10.0
14,0.2685386076569557,4.316033034489073,0.04597701132297516,0.13218390941619873,10.0
15,0.25206937193870543,4.281247961110082,0.0517241396009922,0.14942528307437897,10.0
16,0.22373495399951934,4.275245863815834,0.05747126415371895,0.13793103396892548,10.0
17,0.2244257375597954,4.271722716846686,0.0517241396009922,0.10919540375471115,10.0
18,0.2030283436179161,4.231482341371733,0.06896551698446274,0.12643678486347198,10.0
19,0.18642927408218385,4.277463277180989,0.06896551698446274,0.14367815852165222,10.0
20,0.19410573244094848,4.1652962640784255,0.06321839243173599,0.14942528307437897,10.0
21,0.18306369036436082,4.224942799272208,0.04597701132297516,0.10919540375471115,10.0
22,0.1693258836865425,4.2332148935603,0.04022988677024841,0.10919540375471115,10.0
23,0.15069946944713591,4.21578065554301,0.06321839243173599,0.12643678486347198,10.0
24,0.15082997977733612,4.255225148694269,0.05747126415371895,0.1149425283074379,10.0
